ref,part,asin,qty_supplied,key_specs,status,drawn_on,notes
U1,ESP32-DevKitC-32E development board (2-pack),B0GF1ZJCCN,2,"ESP32-WROOM-32E; dual-core 240 MHz; 8 MB flash; USB-C; 38-pin header; -40 to 85 C",on hand,"esp32_supervisor.svg; esp32_pictorial.svg","Powered through the USB-C connector — no VIN wire, and nothing in the build runs off 5 V. Second board is a bench spare. All GPIOs used by this project are present on both the 38-pin and 30-pin layouts, so the assignments port if one is substituted."
RT1,DROK 10K NTC thermistor probe (3-pack),B0F8NQ9S4R,3,"10 kOhm / B3950 1%; -25 to +125 C; 5 x 25 mm stainless; 1 m PVC lead; JST XH 2.54 2-pin; 3-5 V; 0-10 mA",on hand,"esp32_supervisor.svg; esp32_pictorial.svg; frame_probe.yml","THE TRIP SOURCE, on the motor frame. Cannot go at the winding: the 125 C ceiling sits inside the decision band and the PVC lead fails at winding temperature. Thresholds come from an observed baseline, not the 110 C winding figure. Third probe stays on the bench for calibration comparison."
KA1,VONVOFF (DONJON) 433 MHz RF remote switch kit,B07CTL3TG6,1 receiver + 2 fobs,"433 MHz learning-code; AC 100-240 V single phase; 30 A rated on a 40 A relay; 328 ft; 4 terminals as AC IN L/N + AC OUT L/N; modes point-movement / self-locking / interlock (interlock is the factory default)",on hand,"esp32_supervisor.svg; esp32_pictorial.svg; ladder_coil_circuit.svg; oneline_mains.svg; fob_and_receiver.yml","MUST be set to momentary (1 learn press) before use. LINE-POWERED: AC IN L is both its supply and the line side of its relay, so it stays permanently live and the unit sits at the head of the rung. AC OUT L is switched AC IN L — NOT a dry contact; the N pair is a bonded common bus. Do NOT copy the manufacturer diagram's direct-to-coil wiring: it bypasses the seal-in and violates SR-4. Listing claims Contact Type Normally Closed — verify by observation. Repurposes to dust collection once TASK-3 lands."
PS1,UL-listed USB phone charger,,1,">=500 mA; 5 V; reinforced isolation by virtue of the listing",on hand,"esp32_supervisor.svg; esp32_pictorial.svg; oneline_mains.svg","Scrounged. Sidesteps TASK-2 — a listed charger is a certified isolated AC-DC supply. Fed from a wall outlet, not the machine, so the machine disconnect does not de-energise the supervisor."
Q1,Level shifter for the fob ON pad,,1,"optocoupler PC817 / 4N25 / 4N35, or NPN 2N3904 / 2N2222 / BC547, or logic-level N-FET 2N7000 / BSS138 / AO3400",to scrounge,"esp32_supervisor.svg; esp32_pictorial.svg; fob_and_receiver.yml","The one shopping item in BUILD-TONIGHT. Optocoupler preferred — it keeps ESP32 GND off the fob's 12 V rail."
R1,NTC divider resistor,,1,"~10 kOhm, 1% preferred",to scrounge,"esp32_supervisor.svg; esp32_pictorial.svg","Measure the actual value and put it in the beta equation. A 5% part can read 9.5-10.5 kOhm."
R2,GPIO26 pulldown,,1,10 kOhm,to scrounge,"esp32_supervisor.svg; esp32_pictorial.svg","Mandatory. Floating GPIO26 on boot, crash or brown-out must mean not-transmitting, which means the receiver contact opens."
R3,Level-shifter series resistor,,1,"330 Ohm for an optocoupler; 1 kOhm base resistor for an NPN; 220 Ohm gate resistor plus 100 kOhm gate-to-source for a MOSFET",to scrounge,"esp32_supervisor.svg; esp32_pictorial.svg",
TC1,K-type thermocouple + MAX31855 amplifier,,0,"fiberglass or PTFE lead; exposed or grounded junction; reads past 180 C; SPI",NOT PURCHASED (TASK-1),not drawn,"Would become the trip source and demote RT1 to advisory. PT100 + MAX31865 is the alternative. Spec lives in ARCHITECTURE.md TASK-1."
PSU1,Isolated AC-DC module,,0,"5 V; reinforced isolation; 85-305 VAC in; e.g. Mean Well IRM-05-5 or Recom RAC03-05SK",NOT PURCHASED (TASK-2),not drawn,"Would replace PS1 and put the supervisor behind the machine disconnect. The unidentified '220 to 12 V buck converter' on hand must not be used until positively identified as isolated."
KA2,Opto-isolated relay module,,0,"NO, energised-to-close; ACTIVE-HIGH input; contacts >=250 VAC, >=5 A",NOT PURCHASED (TASK-3),not drawn,"Would replace KA1 and remove the RF link entirely. Active-LOW modules are fail-dangerous here. Being a dry three-terminal contact, it could sit between the seal-in and the coil — which KA1 cannot."
TS1,Bimetallic thermostat,,0,"snap-action; NC, opens on rise; auto-reset; opens 120-130 C; >=250 VAC, >=2 A; NOT a thermal fuse",NOT PURCHASED (TASK-6),ghost slot on ladder_coil_circuit.svg,"The passive layer required by SR-3. Until it is fitted, every protective function on the coil rung depends on the ESP32 continuing to transmit."
W1,High-temperature lead wire,,0,"PTFE or fiberglass; 600 V; rated for the winding temperature class",NOT PURCHASED (TASK-4),not drawn,"Only needed for leads that run against the winding end turns, so it arrives with TC1."
